"method","biotic","sel","bag_site","event","kendall_surv","kendall_surv_pval","kendall_surv_rank","kendall_surv_rank_pval","r2_surv","r2_surv_rank","kendall_len","kendall_len_pval","kendall_len_rank","kendall_len_rank_pval","r2_len","r2_len_rank","signif_surv","signif_len","p_adj_surv","p_adj_len","signif_surv_adj","signif_len_adj"
"lea","b","sel","Lewisetta",4,-0.546018906231948,0.000312744268179226,-0.642857142857143,4.3117324606625e-05,0.506816714703136,0.633722671458521,-0.659772845030271,1.32795211688464e-05,-0.785714285714286,5.7622333162139e-07,0.297459380158381,0.857448107448107,TRUE,TRUE,0.00667187772115683,0.000424944677403086,TRUE,TRUE
"lea","b","sel","YorkRiver",4,-0.176651524373782,0.266841853201803,-0.109004739336493,0.508729326763901,0.0773619905910055,0.00139226887101,-0.457482152865436,0.00403311275357527,-0.592417061611374,0.000328906723410942,0.246380773714898,0.453502677529606,FALSE,TRUE,0.576177781255671,0.0162752422608244,FALSE,TRUE
"gf_geno","b","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,-0.214285714285714,0.172766190477016,0.117427391033369,0.0362383947289608,-0.447432159273402,0.00313994745503096,-0.5,0.00146668999658245,0.175903819076248,0.395604395604396,FALSE,TRUE,0.576177781255671,0.014354045508713,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",4,-0.285360154757648,0.0728664567249499,-0.0900473933649289,0.585139656490813,0.087959425971932,0.00203654399814589,-0.493718362993391,0.0019135787863865,0.109004739336493,0.508729326763901,0.3064051765471,0.157848007921845,FALSE,TRUE,0.358727171568984,0.0134755292008428,FALSE,TRUE
"rda","b","sel","Lewisetta",4,-0.500517330712619,0.000952707078402692,-0.642857142857143,4.3117324606625e-05,0.478099032864986,0.63372267145852,-0.523268118472284,0.000551681116722528,-0.642857142857143,4.3117324606625e-05,0.274132778429985,0.645909645909646,TRUE,TRUE,0.0101622088362954,0.00504394163860597,TRUE,TRUE
"rda","b","sel","YorkRiver",4,-0.258182997161682,0.104623423288806,-0.194312796208531,0.238804934377083,0.122246090363181,0.120384360185785,-0.26724204969367,0.0929996081275877,-0.336492890995261,0.0413587880528225,0.0305962220925756,0.239256416045759,FALSE,FALSE,0.436619114066262,0.165332636671267,FALSE,FALSE
"env_dist","b","sel","Lewisetta",4,-0.273009453115974,0.0715054164448744,-0.357142857142857,0.023069485688115,0.179067349843861,0.306678646301288,-0.386763391914297,0.0106740181183137,-0.5,0.00146668999658245,0.168711833057381,0.464285714285715,FALSE,TRUE,0.358727171568984,0.0273254863828831,FALSE,TRUE
"env_dist","b","sel","YorkRiver",4,-0.131356261713838,0.408999321706926,-0.023696682464455,0.885772126271187,0.142667074029987,0.00699719543079393,-0.303478259821626,0.05644942712165,-0.393364928909953,0.0170935456486082,0.231895034179585,0.276017682346475,FALSE,FALSE,0.576177781255671,0.109477676841988,FALSE,FALSE
"lea","nb","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,-0.214285714285714,0.172766190477016,0.223407410512687,0.0587002096436059,-0.462599351113178,0.00225947858886886,-0.5,0.00146668999658245,0.185505664643725,0.488400488400489,FALSE,TRUE,0.576177781255671,0.0134755292008428,FALSE,TRUE
"lea","nb","sel","YorkRiver",4,-0.231005839565715,0.146497287558392,-0.165876777251185,0.314611910677601,0.151857222067481,0.0169195229742155,-0.439364047801458,0.00575054088111214,-0.535545023696682,0.00116782007675622,0.229504898855881,0.430512809522158,FALSE,TRUE,0.446637105098835,0.0193702429679567,FALSE,TRUE
"gf_geno","nb","sel","Lewisetta",4,-0.0682523632789935,0.652304137211763,-0.142857142857143,0.363396165100604,0.0239218824772723,0.00748727163821503,-0.379179795994408,0.0123100015412109,-0.428571428571429,0.00639637370457417,0.0329860113954899,0.256715506715507,FALSE,TRUE,0.759044814210051,0.0303015422552884,FALSE,TRUE
"gf_geno","nb","sel","YorkRiver",4,-0.149474366777816,0.347453842604331,-0.0616113744075829,0.708772199410945,0.0692557212192754,3.47014254651543e-05,-0.484659310461402,0.00231610658139485,0.137440758293839,0.40472927177998,0.254475185777554,0.094045820480188,FALSE,TRUE,0.576177781255671,0.0134755292008428,FALSE,TRUE
"rda","nb","sel","Lewisetta",4,-0.0530851714392172,0.726009770673111,0,1,0.105107809208404,0.0146750524109015,-0.242675069436421,0.109154778516566,-0.285714285714286,0.0690907974580714,0.0284019822611574,0.134615384615385,FALSE,FALSE,0.774410422051318,0.188808265542167,FALSE,FALSE
"rda","nb","sel","YorkRiver",4,-0.258182997161682,0.104623423288806,-0.194312796208531,0.238804934377083,0.162826033777073,0.106695788021387,-0.19476962943776,0.220858540896306,-0.222748815165877,0.17689851604995,0.085015276826697,0.176469067012273,FALSE,FALSE,0.436619114066262,0.328719688775897,FALSE,FALSE
"env_dist","nb","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,-0.214285714285714,0.172766190477016,0.0553103210398002,0.0362383947289608,-0.447432159273402,0.00313994745503096,-0.5,0.00146668999658245,0.0986044555770277,0.395604395604396,FALSE,TRUE,0.576177781255671,0.014354045508713,FALSE,TRUE
"env_dist","nb","sel","YorkRiver",4,-0.131356261713838,0.408999321706926,-0.023696682464455,0.885772126271187,0.0369653110675236,0.00699719543079393,-0.303478259821626,0.05644942712165,-0.393364928909953,0.0170935456486082,0.172129411823592,0.276017682346475,FALSE,FALSE,0.576177781255671,0.109477676841988,FALSE,FALSE
